"","pointType","ID","xLocation","yLocation","competitorType","headingRadians"
"1","competitor","C-1",0.798951664012903,0.516507034311661,"Hunter",2.22085216400121
"2","competitor","C-2",0.365876592311015,0.753641207872082,"Hunter",5.4046695326713
