"","V1","V2"
"1",-0.293929651887941,-0.0226482188323057
"2",-0.251787743845148,-0.308184808261118
"3",-0.321997236879747,-0.386141452189643
"4",-0.0569235184050573,-0.163673147122709
"5",-0.0607978900002166,-0.30115197225141
"6",-0.0206686353424413,-0.206735078377769
"7",-0.202978915212072,-0.0404245467799154
"8",-0.0954498391410004,-0.794569420533704
"9",-0.924260524424083,-0.132835784448394
"10",-0.219575339286304,-0.23711202562617
"11",-0.0867192358731537,-0.733026230568527
"12",-0.0999844705854512,-0.535823233260222
"13",-0.299904857358185,-0.438440407174715
"14",-0.911929572695755,-0.12968593079117
"15",-0.545089852185121,-0.427823391175978
"16",-0.271857656981508,-0.322475608079045
"17",-0.375187922296545,-0.000232183127704998
"18",-0.143775444718111,-0.396334661326207
"19",-0.00849117374282498,-0.469227538531494
"20",-0.0466317019878674,-0.149388201845385
"21",-0.226113638497337,-0.313625612828355
"22",-0.0970559569404068,-0.443540478981109
"23",-0.35340841093839,-0.00327781904765636
"24",-0.65295078890699,-0.0811017053707152
"25",-0.465951110595073,-0.239963733942167
"26",-0.0842108983144506,-0.165362461455678
"27",-0.150216231317994,-0.142678024206025
"28",-0.383955643793357,-0.459015220644151
"29",-0.0436400983487683,-0.347532792433295
"30",-0.192210218680561,-0.0355485304730582
"31",-0.0300999717162304,-0.574740560375173
"32",-0.610814026292627,-0.0364141556429122
"33",-0.0373946118150798,-0.467342363723488
"34",-0.112147099301081,-0.257557631861409
"35",-0.535121183609125,-0.444139843146287
"36",-0.0641833286714632,-0.263052318427285
"37",-0.470089165099156,-0.0485812853160093
"38",-0.883251949342455,-0.117460137909139
"39",-0.211981939055501,-0.47063757833109
"40",-0.010472069213608,-0.372085395687075
"41",-0.384757472317842,-0.342011826610496
"42",-0.0412835552815817,-0.397987229969074
"43",-0.716887174728337,-0.0622730623905681
"44",-0.599232438401854,-0.323233357464045
"45",-0.216340178636457,-0.0465168134171378
"46",-0.0488305477174671,-0.663925747616805
"47",-0.0152571615466312,-0.299687687258764
"48",-0.408151560518992,-0.0846987248478914
"49",-0.441066760677128,-0.00507365655310809
"50",-0.330651244659116,-0.0849786697801977
"51",-0.194200064024223,-0.0361170884629013
"52",-0.436593712079722,-0.00634292875447372
"53",-0.18495772589568,-0.105765683390429
"54",-0.026248763773739,-0.208962039114326
"55",-0.0837922414949914,-0.582734762073316
"56",-0.0428311640556787,-0.383861940981319
"57",-0.293189410203218,-0.0407719280988054
"58",-0.0284671682960464,-0.197529680322058
"59",-0.0924922263647773,-0.675986643523796
"60",-0.36203401951939,-0.463514301002525
"61",-0.0707127807619267,-0.316342248958394
"62",-0.278225086273736,-0.415595170997852
"63",-0.0563659345054814,-0.196482767152391
