"","V1","V2"
"1",-0.226991237965133,-0.1834103316649
"2",-0.15525717910989,-0.698596042423134
"3",-0.40604496539079,-0.406444245341123
"4",-0.0689080255813511,-0.3551517651788
"5",-0.105525711010038,-0.493438679377888
"6",-0.0156093826248177,-0.474270992104628
"7",-0.192809552756371,-0.139441871976608
"8",-0.113761870891748,-1.27727130967495
"9",-0.84462088351783,-0.0526850883452621
"10",-0.131449110975503,-0.590148106108378
"11",-0.0908564987686187,-1.2179601812462
"12",-0.0594273027716044,-1.00521825083675
"13",-0.391118548899474,-0.482116813125186
"14",-0.837931757150871,-0.0425643599038016
"15",-0.397953402458134,-0.833850449777152
"16",-0.343758467922276,-0.360992978105673
"17",-0.325379819677633,-0.0722439802767539
"18",-0.0763118832125297,-0.827309047133309
"19",-0.0227901146422561,-0.837773063699175
"20",-0.0298594127884484,-0.398388328494728
"21",-0.135183699739712,-0.708419869023099
"22",-0.166995494239376,-0.638123000278059
"23",-0.294073605800119,-0.107779246487053
"24",-0.627694751485193,-0.00109667516209968
"25",-0.518810900835015,-0.175820113210464
"26",-0.105755129434425,-0.323885952970126
"27",-0.0853893968677887,-0.434564463638062
"28",-0.480570056983984,-0.45889248400456
"29",-0.0119001297367828,-0.730874370794368
"30",-0.176457300408816,-0.149160207602377
"31",-0.071867905397703,-0.929486922785965
"32",-0.531997252532834,-0.0660558349593957
"33",-0.0901192070213092,-0.740467034938957
"34",-0.159799694747539,-0.395007862032408
"35",-0.389153390662824,-0.861249938456653
"36",-0.103400445428298,-0.445442014629238
"37",-0.456192073649599,-0.0222830493982248
"38",-0.793888155278648,-0.070623113174443
"39",-0.301383629552562,-0.579779730776935
"40",-0.0419121328864401,-0.654196432547424
"41",-0.461729332158844,-0.322058171530318
"42",-0.0915034656939671,-0.638671324298094
"43",-0.646822745636289,-0.0325730041995647
"44",-0.449646517112242,-0.652785518135921
"45",-0.211307951924384,-0.131157510964799
"46",-0.0730233076006525,-1.09127731255178
"47",-0.0411064812439298,-0.553727742769762
"48",-0.306811827704908,-0.289923917498304
"49",-0.39050799116037,-0.0472824556487171
"50",-0.238494429162531,-0.311140192945402
"51",-0.144666634206433,-0.218978763554714
"52",-0.391048017622079,-0.0411167011881431
"53",-0.202698009197208,-0.189792581518721
"54",-0.0097204213324146,-0.498534784257969
"55",-0.0571880695929316,-1.05564425958373
"56",-0.013779898957862,-0.780713340627503
"57",-0.287576539361822,-0.0841825738422522
"58",-0.012601308026679,-0.478716906123106
"59",-0.0780089535726184,-1.16722505058732
"60",-0.45888726107821,-0.476470503467162
"61",-0.120196237207086,-0.501487356122685
"62",-0.1771106248268,-0.857102550960004
"63",-0.0785825085427196,-0.383906969864987
"64",-0.623718885375131,-0.000284516836899917
"65",-0.159083157547229,-0.278587174681511
"66",-0.201925310180464,-0.126163056730304
"67",-0.128747637461034,-0.681826891223641
"68",-0.10461985896927,-1.20339181802387
"69",-0.122996973319454,-0.215443125144727
"70",-0.0178276070267895,-0.609841291106653
"71",-0.00354545512500708,-0.671470865716631
"72",-0.274641321964741,-0.0794406603421527
"73",-0.4499357957576,-0.531255341360533
"74",-0.0118024768993594,-0.758738006549333
"75",-0.735760269354583,-0.0436350569705725
"76",-0.248485897558135,-0.689989030955359
"77",-0.470152139217052,-0.585911514329767
"78",-0.106318746006403,-0.740099140463455
"79",-0.185343349950861,-0.325869666189306
"80",-0.415843105298947,-0.0728335209201541
"81",-0.0162533823134273,-0.764259694450586
"82",-0.31381390513102,-0.141588388853393
"83",-0.173074401397875,-0.173915823950203
"84",-0.0304379495990812,-0.44857062524415
"85",-0.152438670001096,-0.346151626925768
"86",-0.570468463147049,-0.0145954377070109
"87",-0.277248278135233,-0.0785893348204767
"88",-0.167300873876417,-0.246338088184074
"89",-0.296670817237342,-0.38256991312032
"90",-0.472010279145654,-0.811929634109534
"91",-0.0676757708671177,-0.918173323784541
"92",-0.165120410631519,-1.43171686516395
"93",-0.493882571144661,-0.0180983105508103
"94",-0.831500410823362,-0.026077093926376
"95",-0.0171832428459109,-0.571086798635573
"96",-0.0291906592920352,-0.513206424281134
"97",-0.491373620487579,-0.116975725400292
"98",-0.175794980584035,-0.312192477462663
"99",-0.0390243415544822,-0.99148890161472
"100",-0.0521737582176469,-0.794255680427334
"101",-0.0284986536400565,-0.403567539777747
"102",-0.711006362878304,-0.0517385335301115
"103",-0.343538383683898,-0.189075892809106
"104",-0.501225782066736,-0.029806713277962
"105",-0.448107240346895,-0.120065925608514
"106",-0.0510951049968246,-0.352560479344816
"107",-0.351172843270101,-0.0995294571178295
"108",-0.50312200676706,-0.0685025811780978
"109",-0.428535909405433,-0.0849524088200029
"110",-0.0215106640788051,-0.626055737099342
"111",-0.0244262051026226,-0.653253101180813
"112",-0.0496446828276092,-0.421142087088063
"113",-0.107886903165544,-0.88725890856671
"114",-0.582846029125144,-0.00189844398664267
"115",-0.285525615226899,-0.210487456601338
"116",-0.588755605438347,-0.0136062052890329
"117",-0.201423877372757,-0.150941369560591
"118",-0.272711395902412,-0.0854418197334831
"119",-0.400332254557782,-0.900081089178598
"120",-0.103633877107602,-0.591563799607053
"121",-0.07271956153907,-0.840658821514921
"122",-0.237532971671214,-0.561251438855976
"123",-0.108389958378551,-1.2146015507814
"124",-0.005155807819362,-0.630309730625827
"125",-0.268696194250159,-0.0957161874650371
"126",-0.451914190298091,-0.0845416530351608
"127",-0.096737588173033,-0.303790780654258
"128",-0.478931069027733,-0.262203132239434
"129",-0.00663632816893215,-0.529396389562999
"130",-0.462736926434008,-0.292616195612141
"131",-0.62241972614757,-0.00791576620029268
"132",-0.218847971821625,-0.170987150437251
"133",-0.0382772690246335,-0.400099876259836
"134",-0.119337233450838,-0.515605922088335
"135",-0.430760126247066,-0.139851287820318
"136",-0.0586457915500376,-0.486209695379808
"137",-0.254472955954165,-0.488225028212516
"138",-0.175907792651503,-0.36117514375861
"139",-0.489852428829496,-0.421654402829837
"140",-0.0125862587367573,-0.778939338655325
"141",-0.320960868049949,-0.0905627206432821
"142",-0.0809599915897726,-0.559848939813123
"143",-0.183144429588073,-0.584835820967835
"144",-0.222708514834126,-0.16776531748049
"145",-0.0291155024689046,-0.502226003375125
"146",-0.732187504235224,-0.0206119141842572
"147",-0.496428320511617,-0.947406995174946
"148",-0.0538581259664426,-0.975790352063144
